تاریخ,شروع,پایان,شهر,آدرس
۱۴۰۴/۰۵/۱۷,13:00,15:00,بابل,قسمت انتهايي  شهرک فاطري از طرف کمربندي -شهرک عسگریان - کوچه هاي پورعباسي -  تفکيکي پرفسور نوري -  کوچه هاي حافظ يک و دو - کرامت - بهشتي 9 تا بهشتي 41 - امير- دلگشا - 20 متري - وليگدان -شهيد الياسي - ابن سينا و مصطفي خميني و ملامحله - شهاب الدين کلا  - و
۱۴۰۴/۰۵/۱۷,13:00,15:00,بابل,خيابان امام سمت چپ از ميدان امام علي تا ميدان انقلاب ( ساعت) خيابان طالقاني - خيابان خاتم الانبيا  -حاجي کلاي اول - صادقيه يا گاوزن کلا - نواب - امیرعلی صائبی ( ورزش) - درزي کلا شيخ - علي ساختمان - سهرابي - گلزار- گل سرخ - چهلستون و جمعه بازار و اطراف شهر
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,46- امامزاده قاسم تا میدان اوقاف اندیشه های 2 تا 18 و 1 تا 13 ،  محله چاله زمین، میدان اوقاف کوچه های شکوفه، از چهارشنبه پیش تاخوابگاه امینیان  (مصلی های 11تا 37 و6تا 36) شهرک صدف ، قسمتی از محله رضیاکلا و گلستان 16
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,1- پشت اداره برق شمال بابل،  بلوار کاظم بیگی تا قائم 9، کوچه های عادل و معرفت، محله های اسلام و سادات محله
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,84-فیضیه 14-از انتهای طالقانی 5تا  کوچه گرمابه خزر تا سه راه حیدرکلا - واز سه راه حیدر کلا بسمت کوچه شهید فیروزجایی - حیدر 7تا 17 و 10تا 26
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,57- جاده جدید بابل به آمل (ضلع شمالی)، کمربندی احمدچاله پی از ابتدای روستای متیکه تا علیشاه، امین آباد شمالی، میاندسته، هلال کلا شمالی، درزیکلای کوچک و بزرگ، سنگچی، بیجی کلا، نودهک
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,13-ازعبور هریکنده تا روبروی مازیار صنعت، روستاهای هتکه پشت، نقیب کلا،دیودشت، تراجیکلا و پشت سیم، قسمتی از شهرک بذری
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,78- درازکلا تا انتهای منطقه جنگلی تیرکن، ریگ چشمه، شالیکش، همه کتن، مس دره، هلی کتی، بلکرون، موزی کتی، جاجن،  وزتلک و فرام لک، ازارون، تیرکن، ممرزکن، چهره، بالف کلا و کلاری کلا، کبریاکلا، امیر کلا
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,23- شهرک آزادگان، شهرک چمران و ارشاد 6 تا  سه راه نوآباد، بازار روز امام رضا  و قسمتی از بحر ارم شرقی و خیابان شهید صالحی کوچه های حسینی
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,پایین احمد چاله پی تا مظفرکلا، داوود کلا، چناربن، زاهد کلا،  للوک، خطیب و طراقچی کلا
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,83- از شهر مرزیکلا تا تصفیه خانه، قسمتی از شهر مرزیکلا و رئیس کلا
