تاریخ,شروع,پایان,شهر,آدرس
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,77- ابتدای کرد محله تاکشتله چناربن و پائین محله کشتله،  ولوکلا، آهنگرکلای بزرگ، ، چوبست، بالامرزبال، گل باغ، بالامرزناک،  مسیر احمد کلا تا کرد محله و مسیر آخمن
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,63- حمزه کلا شش پل، خراسان محله، سادات محله، نوشیروانکلا، محله قصاب کلا، آهنگرکلا، شیخ محله، درزیکلای نوشیروانی، قمی کلا و آکتیج کلا
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,9- ابتدا کوچه ستارتا شبنم  11 و محله پاسداران و قسمتی از هفت تن ، حوالی بانک مهر میدان کشوری
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,خيابان امام سمت راست از ميدان امام علي تا ميدان انقلاب (ساعت) کوچه هاي نيماي يک تا نيماي چهار و قسمتي از شهرک فاطري - کوچه هاي اسايش - ارامش - عابدي - کوچه بيمارستان کودکان - نشاط - رازي - اطراف بيمارستان مهرگان -  و ابتداي خيابان ابن سينا - چاووشي
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,ضلع شمالي کمربندي اميرکلا از ميدان نماز تا ميدان مقريکلا و روستاهاي مقريکلا - کبوتردان - خرد مرد و عزيزک ( میان محله و پایین محله)- فارابی 18 و فارابی 16 کوچه پنجم
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,خيابان امام از ميدان انقلاب ( ساعت) تا سه را ه سجادي - بلوار ناصري از ميدان منبع آب تا ميدان شهدا ديوکلا کوچه هاي بهشتي يک تا بهشتي يازده - رزاقيان - باقرنسب - اطراف مسجد امام حسين و مخابرات  و اداره برق -کوچه های صفائیان -گلستان - حافظ و حمام قديمي ديوکل
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,شهرک هاي بهزاد و 22 بهمن وکوچه هاي فارابي -وليعصر - فتح - نبوت - عادل - ميخک - گلستان و اطراف ميدان حائري
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,18- بسیج 11، کوچه های فجر( مرکزی، جنوبی و غربی)  سلمان فارسی غربی، ابتدای بسیج 1 تا مسجد امام حسین، وکیل محله، همت آباد، شهرک مخابرات، (مالک شرقی 1 تا 13) و (مالک اشتر 1 تا 11)، حسین آباد تا مسجد ابوذر
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,56-  ازبار فروش 9قبل میدان مادر تا  پل موزیرج جاده ساحلی، مجتمع بنیاد مسکن، از ترمینال غرب تا بسیج مالک اشتر، شرکت آب بند، برسمنان و کمانگر و کتی سر
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,39- چهار راه شهربانی تا میدان اوقاف، میدان اوقاف تا دانشگاه نوشیروانی ( معلم 1 تا 7 و 4 تا 10 ) از باغ فردوس تا بیمارستان بابل کلینیک و محله نوعلم
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,34-  میدان فاضل تا میدان هادی نوروزی بلوار یاسینی کشاورزی بسمت طلائیه - جاده قائم شهراز میدان هادی نوروزی ضلع شمالی تا مازیار صنعت ،کبودکلا و سیدآباد ، دریکنده،چمازکلا شمالی، گرجی آباد شمالی ، کوچه خجسته، شهرک مهر ولایت،
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,14- میدان سردار سلیمانی از معلم 19 تا دانشگاه نوشیروانی، گلستان 19 تا ورودی بسیج 1 و گلستان20 ،  از چهارراه شهرک دانش تا خوابگاه امنیان (مصلی های1تا 7 و2تا 4)  ، قسمتی از محله رضیاکلا واز چهارراه دانش تا گلستان 20و  گلستان 16و 21
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,50- چهار راه گله محله تا چهار راه امیرکبیر (توحید 1 تا 40)، خورشیدکلا کوچه های (معراج 1 تا 16)
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,61- روستاهای بالا احمد چاله پی، آقاملک، درزیکلای آقا شفیع، دلاورکلا، حمزه رضا، بازیار (بالا و پایین )، قصاب کلا، اله چال تا جاده گاودشت
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,65- خجيرکلا، حمزه کلاشش پل، اسبوکلا، درویش خاک (بالا  و پایین)، بوله کلا، اله رودبار تا متی کلا و تا پارک پردیس
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,66- شهیدآباد، صلحدارکلا، فکچال و فیروزآباد، قنبرزاده، بزرودپی تا پمپ بنزین شهر خشرودپی
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,81-  از شهر مرزیکلا تا بالا گنج افروز، سیادرکا،  پیتکا، رئیس کلا، درونکلای( شرقی و غربی) گاوزن محله و شاه رضا، مرزناک، بزچفت، شهرک صنعتی درونکلا، داردکاشت،  قسمتی از هلیدشت و انارستان
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,73- از امام زاده عباس بسمت لدار و شاه رضا، پوستکلا، زوارده، کلاگرکلا، آخمن، لیاردن، گرد رودبار، امیرده و قسمتی از بالا مرزناک
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,72- تهمتن کلا، حوزه شهری گلیا ، پاشا امیر، گنج کلا (بالا و پایین)، ادملا، کیمیون و خرطوسی، هشتَری و چالرز
۱۴۰۴/۰۵/۱۷,21:00,23:00,بابل,خیابان ام آر ای - شهرک پردیس - شهرک دانش کوچه دانش 1  تا دانش 15-کل روستاي اغوزبن به جزء کوچه هاي امام رضا -  و روستاي بندرکلا -
